PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA
Tristan Enaruna,CLE,9,3.8,1.9,0.0,5.699999999999999
Tyrese Proctor,CLE,9,5.7,0.0,0.0,5.7
Emanuel Miller,CLE,0,0.0,0.0,0.0,0.0
Evan Mobley,CLE,0,0.0,0.0,0.0,0.0
Max Strus,CLE,0,0.0,0.0,0.0,0.0
Dean Wade,CLE,0,0.0,0.0,0.0,0.0
Kevin Porter Jr.,MIL,52,24.8,13.8,15.1,53.7
Cam Thomas,MIL,34,46.8,7.6,3.8,58.199999999999996
Jericho Sims,MIL,48,23.4,15.1,3.8,42.3
Myles Turner,MIL,41,9.5,11.0,3.8,24.3
Kyle Kuzma,MIL,40,20.7,13.3,3.8,37.8
Ousmane Dieng,MIL,30,23.4,5.7,0.0,29.099999999999998
AJ Green,MIL,41,11.4,1.9,3.8,17.1
Bobby Portis,MIL,22,7.6,3.8,0.0,11.399999999999999
Gary Harris,MIL,11,0.0,1.9,1.9,3.8
Thanasis Antetokounmpo,MIL,0,0.0,0.0,0.0,0.0
Andre Jackson Jr.,MIL,0,0.0,0.0,0.0,0.0
Gary Trent Jr.,MIL,0,0.0,0.0,0.0,0.0
Alex Antetokounmpo,MIL,0,0.0,0.0,0.0,0.0
Giannis Antetokounmpo,MIL,0,0.0,0.0,0.0,0.0
Taurean Prince,MIL,0,0.0,0.0,0.0,0.0
Ryan Rollins,MIL,0,0.0,0.0,0.0,0.0
Pete Nance,MIL,8,0.0,0.0,0.0,0.0
Jalen Suggs,ORL,47,22.0,1.9,13.8,37.7
Desmond Bane,ORL,52,42.7,3.8,9.5,56.0
Moritz Wagner,ORL,23,16.5,9.5,7.6,33.6
Wendell Carter Jr.,ORL,41,11.4,15.1,5.7,32.2
Paolo Banchero,ORL,54,23.4,7.6,3.8,34.8
Anthony Black,ORL,33,17.9,5.7,5.7,29.299999999999997
Franz Wagner,ORL,28,9.5,0.0,5.7,15.2
Tristan da Silva,ORL,32,9.5,7.6,0.0,17.1
Jase Richardson,ORL,11,5.7,0.0,1.9,7.6
Goga Bitadze,ORL,0,0.0,0.0,0.0,0.0
Jamal Cain,ORL,0,0.0,0.0,0.0,0.0
Jevon Carter,ORL,0,0.0,0.0,0.0,0.0
Jonathan Isaac,ORL,0,0.0,0.0,0.0,0.0
Noah Penda,ORL,6,0.0,0.0,0.0,0.0
Colin Castleton,ORL,0,0.0,0.0,0.0,0.0
Jett Howard,ORL,0,0.0,0.0,0.0,0.0
Orlando Robinson,ORL,0,0.0,0.0,0.0,0.0
Justin Champagnie,WAS,33,16.5,11.0,3.8,31.3
Kyshawn George,WAS,33,23.4,9.5,5.7,38.6
Sharife Cooper,WAS,32,15.1,9.5,9.5,34.1
Bilal Coulibaly,WAS,33,17.9,0.0,3.8,21.7
Jamir Watkins,WAS,39,22.0,5.7,3.8,31.5
Tre Johnson,WAS,25,13.8,5.7,3.8,23.3
Anthony Gill,WAS,26,7.6,7.6,3.8,19.0
Bub Carrington,WAS,29,11.0,5.7,7.6,24.299999999999997
Jaden Hardy,WAS,19,15.1,3.8,1.9,20.799999999999997
Kadary Richmond,WAS,11,9.5,3.8,1.9,15.200000000000001
Will Riley,WAS,39,7.6,7.6,3.8,19.0
Keshon Gilbert,WAS,11,3.8,1.9,0.0,5.699999999999999
Anthony Davis,WAS,0,0.0,0.0,0.0,0.0
D'Angelo Russell,WAS,0,0.0,0.0,0.0,0.0
Alexandre Sarr,WAS,0,0.0,0.0,0.0,0.0
Tristan Vukcevic,WAS,0,0.0,0.0,0.0,0.0
Cam Whitmore,WAS,0,0.0,0.0,0.0,0.0
Trae Young,WAS,0,0.0,0.0,0.0,0.0
Day'Ron Sharpe,BKN,41,26.2,16.5,9.5,52.2
Nolan Traoré,BKN,43,27.5,3.8,11.0,42.3
Ziaire Williams,BKN,39,26.2,9.5,1.9,37.6
Egor Demin,BKN,44,17.9,9.5,9.5,36.9
Danny Wolf,BKN,30,19.3,11.0,0.0,30.3
Ben Saraf,BKN,23,16.5,7.6,3.8,27.900000000000002
Ochai Agbaji,BKN,22,0.0,11.4,3.8,15.2
Drake Powell,BKN,26,11.4,1.9,1.9,15.200000000000001
Jalen Wilson,BKN,21,5.7,3.8,0.0,9.5
